path,h1,h2_first,lang,size_bytes,last_commit_date,last_author
BUILD.md,,Обзор проекта,mixed,10328,N/A,N/A
README.md,AquaStream,Документация,mixed,407,2025-08-10,egorovma
backend-common/README.md,AquaStream Backend Common,Описание,mixed,10219,2025-09-17,egorovma
backend-crew/README.md,AquaStream Backend Crew Service,Описание,mixed,12822,2025-09-17,egorovma
backend-event/README.md,AquaStream Backend Event Service,Описание,mixed,17040,2025-09-17,egorovma
backend-gateway/README.md,AquaStream Backend Gateway,Описание,mixed,15834,2025-09-17,egorovma
backend-media/README.md,AquaStream Backend Media Service,Описание,mixed,21518,2025-09-17,egorovma
backend-notification/README.md,AquaStream Backend Notification Service,Описание,mixed,25999,2025-09-17,egorovma
backend-payment/README.md,AquaStream Backend Payment Service,Описание,mixed,21281,2025-09-17,egorovma
backend-user/README.md,AquaStream Backend User Service,Описание,mixed,25814,2025-09-17,egorovma
doc-as-code-todos/00-foundation-tooling.md,Задача 00 — Основы и выбор инструментов Doc as Code,Цель,mixed,2544,N/A,N/A
doc-as-code-todos/01-inventory.md,Задача 01 — Инвентаризация всех Markdown‑файлов,Цель,mixed,2934,N/A,N/A
doc-as-code-todos/02-taxonomy-mapping.md,Задача 02 — Таксономия и маппинг: сквозные vs модульные,Цель,mixed,2432,N/A,N/A
doc-as-code-todos/03-normalize-style-frontmatter.md,Задача 03 — Нормализация стиля и фронт‑маттеров,Цель,mixed,2293,N/A,N/A
doc-as-code-todos/04-templates-source-of-truth.md,Задача 04 — Шаблоны и «source of truth» для повторяющихся типов,Цель,mixed,1991,N/A,N/A
doc-as-code-todos/05-docs-site-build.md,Задача 05 — Сборка сайта документации,Цель,mixed,1968,N/A,N/A
doc-as-code-todos/06-navigation-ia.md,Задача 06 — Навигация и информационная архитектура,Цель,mixed,2153,N/A,N/A
doc-as-code-todos/07-api-autogen.md,Задача 07 — API‑документация и автогенерация,Цель,mixed,1942,N/A,N/A
doc-as-code-todos/08-adr.md,Задача 08 — ADR (Architecture Decision Records),Цель,mixed,1728,N/A,N/A
doc-as-code-todos/09-diagrams-media.md,Задача 09 — Диаграммы и медиа,Цель,mixed,1707,N/A,N/A
doc-as-code-todos/10-lint-spell-links.md,"Задача 10 — Линтинг, орфография, проверка ссылок",Цель,mixed,1814,N/A,N/A
doc-as-code-todos/11-ci-cd-pages.md,Задача 11 — CI/CD для документации и Pages,Цель,mixed,1407,N/A,N/A
doc-as-code-todos/12-policies-processes.md,"Задача 12 — Политики и процессы: CODEOWNERS, CONTRIBUTING, PR‑шаблоны",Цель,mixed,2172,N/A,N/A
doc-as-code-todos/13-glossary-terminology.md,Задача 13 — Глоссарий и терминология,Цель,mixed,1389,N/A,N/A
doc-as-code-todos/14-migration.md,Задача 14 — Миграция (Wiki/разрозненные файлы),Цель,mixed,1444,N/A,N/A
doc-as-code-todos/15-versioning.md,Задача 15 — Версионирование документации (опционально),Цель,mixed,1406,N/A,N/A
doc-as-code-todos/16-final-quality-check.md,Задача 16 — Финальная проверка покрытия и качества,Цель,mixed,1382,N/A,N/A
doc-as-code-todos/17-dev-process-integration.md,Задача 17 — Интеграция документации в процесс разработки,Цель,mixed,2100,N/A,N/A
doc-as-code-todos/18-build-integration.md,Задача 18 — Интеграция сборки доков в Make/Gradle,Цель,mixed,1692,N/A,N/A
doc-as-code-todos/19-team-enablement.md,Задача 19 — Обучение команды и руководство по работе с доками,Цель,mixed,2308,N/A,N/A
doc-as-code-todos/README.md,Doc‑as‑Code — чек‑лист задач (аквиведение документации),Оглавление задач,mixed,3595,N/A,N/A
docs/adr/adr-0001-docs-stack.md,ADR-0001: Выбор стека Doc as Code для aquastream,Контекст,mixed,1297,N/A,N/A
docs/adr/index.md,ADR — Architecture Decision Records (индекс),,mixed,224,N/A,N/A
docs/index.md,AquaStream — портал документации,Быстрые ссылки,mixed,669,N/A,N/A
docs/overview.md,Overview,,mixed,390,N/A,N/A
frontend/README.md,дев‑сервер / прод‑сборка / старт,AquaStream Frontend — DevEx README,mixed,5103,2025-08-10,egorovma
frontend/docs/aquastream-frontend-spec.md,AquaStream — бизнес‑постановка v1.1 (MVP),1. Назначение и контекст,mixed,20837,2025-08-10,egorovma
frontend/docs/claude-ready-brief.md,,AquaStream Frontend — Claude‑ready бриф (v1),mixed,16492,2025-08-16,egorovma
frontend/docs/frontend-finalization-checklist.md,,"Финализация фронтенда: унификация, качество, контроль",mixed,7788,2025-08-16,egorovma
frontend/docs/frontend-hardening-unification.md,,"Доведение фронтенда до идеала: унификация, бест‑практики, очистка",mixed,9694,2025-08-16,egorovma
frontend/docs/tailwind-shadcn-unification.md,,План унификации стилей: Tailwind CSS v4 + shadcn/ui,mixed,15461,2025-08-16,egorovma
frontend/docs/todos-fe.md,Frontend TODOs,,en,3841,2025-08-10,egorovma
infra/CHANGELOG.md,Changelog,[Unreleased],en,2168,2025-09-17,egorovma
infra/RELEASES.md,AquaStream Release Process,Semantic Versioning (SemVer),en,9916,2025-09-17,egorovma
infra/backup/README.md,Бэкапы PostgreSQL (per-schema),Что делает `backup.sh`,mixed,2990,2025-08-10,egorovma
infra/docker/compose/README.md,Docker Compose (dev|stage|prod),Профили,mixed,1936,2025-08-10,egorovma
infra/docs/CI-README.md,CI/CD (GitHub Actions),Workflows,mixed,961,2025-08-10,egorovma
infra/docs/DEVELOPER.md,AquaStream Backend - Developer Guide,📋 Оглавление,mixed,34492,2025-09-17,egorovma
infra/docs/aquastream-backend-spec-complete.md,AquaStream Backend - Техническая спецификация,Оглавление,mixed,27196,2025-09-17,egorovma
